Mois,depression
2004-01,85
2004-02,98
2004-03,97
2004-04,99
2004-05,90
2004-06,66
2004-07,62
2004-08,62
2004-09,81
2004-10,89
2004-11,94
2004-12,81
2005-01,79
2005-02,93
2005-03,95
2005-04,100
2005-05,90
2005-06,63
2005-07,62
2005-08,57
2005-09,71
2005-10,84
2005-11,86
2005-12,76
2006-01,85
2006-02,85
2006-03,89
2006-04,85
2006-05,79
2006-06,58
2006-07,53
2006-08,51
2006-09,64
2006-10,71
2006-11,73
2006-12,63
2007-01,67
2007-02,72
2007-03,76
2007-04,73
2007-05,70
2007-06,51
2007-07,49
2007-08,48
2007-09,60
2007-10,68
2007-11,67
2007-12,59
2008-01,64
2008-02,69
2008-03,71
2008-04,72
2008-05,65
2008-06,50
2008-07,48
2008-08,44
2008-09,74
2008-10,88
2008-11,79
2008-12,69
2009-01,69
2009-02,84
2009-03,84
2009-04,73
2009-05,64
2009-06,51
2009-07,51
2009-08,47
2009-09,54
2009-10,62
2009-11,68
2009-12,60
2010-01,62
2010-02,66
2010-03,69
2010-04,67
2010-05,62
2010-06,49
2010-07,45
2010-08,43
2010-09,52
2010-10,57
2010-11,59
2010-12,51
2011-01,61
2011-02,66
2011-03,69
2011-04,67
2011-05,62
2011-06,53
2011-07,50
2011-08,51
2011-09,59
2011-10,61
2011-11,63
2011-12,56
2012-01,60
2012-02,65
2012-03,66
2012-04,66
2012-05,61
2012-06,49
2012-07,48
2012-08,48
2012-09,54
2012-10,60
2012-11,61
2012-12,56
2013-01,61
2013-02,66
2013-03,65
2013-04,69
2013-05,60
2013-06,48
2013-07,47
2013-08,46
2013-09,55
2013-10,61
2013-11,62
2013-12,56
2014-01,61
2014-02,67
2014-03,68
2014-04,69
2014-05,62
2014-06,50
2014-07,48
2014-08,64
2014-09,62
2014-10,66
2014-11,66
2014-12,62
2015-01,65
2015-02,68
2015-03,73
2015-04,73
2015-05,66
2015-06,56
2015-07,55
2015-08,56
2015-09,65
2015-10,73
2015-11,72
2015-12,67
2016-01,67
2016-02,78
2016-03,77
2016-04,80
2016-05,70
2016-06,57
2016-07,52
2016-08,57
2016-09,65
2016-10,72
2016-11,72
2016-12,69
2017-01,72
2017-02,75
2017-03,80
2017-04,78
2017-05,74
2017-06,58
2017-07,58
2017-08,63
2017-09,65
2017-10,74
2017-11,76
2017-12,70
2018-01,73
2018-02,79
2018-03,79
2018-04,81
2018-05,74
2018-06,71
2018-07,60
2018-08,60
2018-09,70
2018-10,78
2018-11,80
2018-12,75
2019-01,76
